trail,learning_rate,student_architecture,teacher_architecture,distill,epoch,train_acc,train_loss,test_acc,test_loss,test_acc_top5
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,56,57.510,0.194048,56.590,1.813665,83.620000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,57,58.184,0.192518,55.770,1.865338,82.870000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,58,58.912,0.190872,55.530,1.891764,83.370000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,59,59.300,0.189171,56.890,1.870829,83.180000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,60,59.870,0.188331,57.400,1.833833,84.170000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,61,60.426,0.186385,58.650,1.801729,84.590000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,62,61.132,0.185208,58.490,1.813154,84.950000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,63,61.488,0.183911,58.340,1.826075,84.130000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,64,62.238,0.182305,58.160,1.851529,84.640000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,65,62.284,0.181357,59.200,1.795308,85.470000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,66,63.074,0.180086,58.710,1.816490,84.710000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,67,63.178,0.179418,59.250,1.802361,85.030000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,68,63.552,0.178263,59.860,1.778746,85.690000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,69,64.104,0.177430,60.290,1.786925,85.690000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,70,64.556,0.175707,60.070,1.796669,85.740000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,71,65.026,0.175036,60.020,1.802360,85.450000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,72,65.406,0.174085,60.830,1.782135,86.330000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,73,65.318,0.173521,60.320,1.829181,86.240000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,74,65.700,0.172711,59.850,1.852865,85.080000
